TEN,LOAI_HINH,VUNG,DAY,LAT,LON,THU_TU
GEM Center,Hội nghị,TP.HCM,Day 1,10.7901412485,106.702372151,3.0
Trung tâm Hội chợ và Triển lãm Sài Gòn (SECC),Hội nghị,TP.HCM,Day 1,10.7306561679,106.721340231,1.0
White Palace,Hội nghị,TP.HCM,Day 1,10.8258793445,106.716441265,
Athena Hotel,Khách sạn,TP.HCM,Day 1,10.7776849755,106.664954659,
Eastin Grand Saigon Hotel,Khách sạn,TP.HCM,Day 1,10.7966983322,106.673245244,
Hotel Continental Saigon,Khách sạn,TP.HCM,Day 1,10.7768959933,106.702503596,
JW Marriott Hotel & Suites Saigon,Khách sạn,TP.HCM,Day 1,10.7809406513,106.700566327,4.0
Novotel Saigon Centre Hotel,Khách sạn,TP.HCM,Day 1,10.7843188437,106.695881494,
Pullman Saigon Hotel,Khách sạn,TP.HCM,Day 1,10.7643284176,106.691671698,6.0
Sofitel Saigon Plaza Hotel,Khách sạn,TP.HCM,Day 1,10.7840846033,106.702571462,5.0
Windsor Plaza Hotel,Khách sạn,TP.HCM,Day 1,10.7577959604,106.673306042,
Trung Tâm Triển Lãm Hội Nghị Quốc Tế Sky Expo Viet Nam,Triển lãm,TP.HCM,Day 1,10.8559389592,106.628012234,2.0
Trung tâm Triển lãm và Hội chợ Tân Bình TBECC,Triển lãm,TP.HCM,Day 1,10.795638354,106.65481193,
Công viên Văn hóa Đầm Sen,Vui chơi/Tham quan,TP.HCM,Day 1,10.7687992942,106.636106221,
"Công viên lịch sử văn hóa - dân tộc (công viên chuyên đề, du lịch sinh thái, tôn giáo)",Vui chơi/Tham quan,TP.HCM,Day 1,10.8878752224,106.819612482,
Công viên văn hóa Suối Tiên,Vui chơi/Tham quan,TP.HCM,Day 1,10.8662277431,106.803152679,8.0
Khu di tích lịch sử Địa đạo Củ Chi,Vui chơi/Tham quan,TP.HCM,Day 1,11.1415848281,106.461594525,9.0
Khu du lịch Bình Quới 1,Vui chơi/Tham quan,TP.HCM,Day 1,10.8294993999,106.739179881,
Khu du lịch Bình Quới 2,Vui chơi/Tham quan,TP.HCM,Day 1,10.8325058293,106.742887963,
Khu du lịch Bình Quới 3 (hay còn gọi là Quán Xưa),Vui chơi/Tham quan,TP.HCM,Day 1,10.8207325194,106.727199862,
